IdSKU,Codigo,IdCategoria,IdEstado,PrecioActual,FechaRegistro,Garantia,DetalleUbicacion
1,509-88-3698,1,1,8500,2016-08-14,2,Mostrador
2,056-53-8018,4,1,11500,2018-06-21,2,Pasillo de acuerdo a la categoria
3,295-24-2357,3,1,15500,1974-02-23,2,Pasillo principal
4,894-12-4158,4,1,8000,1972-04-01,2,Mostrador
5,767-65-3971,4,1,48000,1991-02-12,2,Mostrador
6,392-58-0935,1,1,36000,2008-06-15,12,Mostrador
7,260-65-5991,5,1,36000,2004-10-15,1,Pasillo principal
8,574-37-3897,4,1,9500,1974-09-10,12,Pasillo principal
9,485-25-0017,2,1,40500,2000-02-12,1,Ventana
10,779-24-3205,5,1,22500,2014-01-13,3,Mostrador
11,741-55-6255,2,1,19000,2009-09-12,2,Pasillo de acuerdo a la categoria
12,069-35-0958,5,1,21500,1981-11-29,3,Pasillo de acuerdo a la categoria
13,040-44-1682,1,1,21500,1979-12-10,2,Ventana
14,484-12-1029,3,1,37500,1987-06-10,1,Pasillo principal
15,354-31-2962,5,1,29000,2015-02-14,1,Pasillo de acuerdo a la categoria
16,333-39-8166,5,1,27000,2013-12-26,12,Mostrador
17,127-12-2344,2,1,45500,1996-06-03,12,Mostrador
18,077-13-2579,6,1,47500,2010-06-05,1,Mostrador
19,843-88-9655,2,1,6000,2017-12-25,3,Ventana
20,305-70-7307,2,1,9000,1978-04-28,1,Ventana
21,344-44-2656,1,1,26500,2011-08-29,12,Pasillo de acuerdo a la categoria
22,097-98-1947,3,1,24500,1996-02-03,1,Mostrador
23,052-58-3311,2,1,32500,1979-10-13,2,Pasillo principal
24,207-21-7725,4,1,10500,1997-01-03,3,Pasillo principal
25,697-31-3597,4,1,47000,1977-12-02,12,Mostrador
