Source,Target,WEIGHT
1,2,6
1,3,2
2,3,3
1,4,2
2,4,7
3,4,5
1,5,6
2,5,6
3,5,8
4,5,6
1,6,2
2,6,5
3,6,4
4,6,6
5,6,7
2,7,1
3,7,8
4,7,4
5,7,6
6,7,7
1,8,5
2,8,6
3,8,10
4,8,4
5,8,9
6,8,8
7,8,7
1,9,2
2,9,5
3,9,4
4,9,7
5,9,7
6,9,6
7,9,7
8,9,5
1,10,7
2,10,7
3,10,6
4,10,12
5,10,16
6,10,8
7,10,8
8,10,5
9,10,10
1,11,6
2,11,5
3,11,10
4,11,10
5,11,14
6,11,9
7,11,8
8,11,10
9,11,5
10,11,21
1,12,5
2,12,7
3,12,6
4,12,4
5,12,9
6,12,6
7,12,6
8,12,8
9,12,8
10,12,10
11,12,9
1,13,3
2,13,5
3,13,1
4,13,5
5,13,4
6,13,1
7,13,1
8,13,1
9,13,6
10,13,7
11,13,6
12,13,5
1,14,1
2,14,1
3,14,4
4,14,2
5,14,5
6,14,9
7,14,6
8,14,5
9,14,5
10,14,9
11,14,8
12,14,3
13,14,1
1,15,4
2,15,3
3,15,6
4,15,5
5,15,4
6,15,4
7,15,3
8,15,6
9,15,3
10,15,6
11,15,9
12,15,4
13,15,1
14,15,1
1,16,5
2,16,3
3,16,8
4,16,6
5,16,9
6,16,6
7,16,5
8,16,9
9,16,5
10,16,12
11,16,13
12,16,8
13,16,3
14,16,2
15,16,7
2,17,7
3,17,3
4,17,4
5,17,7
6,17,3
7,17,6
8,17,3
9,17,11
10,17,11
11,17,6
12,17,9
13,17,4
14,17,4
15,17,1
16,17,4
1,18,6
2,18,10
3,18,12
4,18,11
5,18,12
6,18,8
7,18,9
8,18,13
9,18,7
10,18,18
11,18,21
12,18,8
13,18,5
14,18,10
15,18,7
16,18,8
17,18,4
1,19,10
2,19,10
3,19,14
4,19,6
5,19,17
6,19,15
7,19,14
8,19,20
9,19,13
10,19,10
11,19,18
12,19,17
13,19,3
14,19,5
15,19,9
16,19,11
17,19,7
18,19,18
1,20,5
2,20,1
3,20,1
4,20,1
5,20,4
6,20,3
7,20,1
8,20,3
9,20,3
10,20,7
11,20,3
12,20,3
13,20,2
14,20,5
15,20,1
16,20,4
18,20,3
19,20,3
1,21,2
2,21,3
3,21,5
4,21,2
5,21,3
6,21,2
7,21,3
8,21,6
9,21,3
10,21,2
11,21,9
12,21,7
13,21,3
14,21,2
15,21,4
16,21,3
17,21,2
18,21,8
19,21,8
1,22,6
2,22,2
3,22,2
4,22,4
5,22,6
6,22,2
7,22,3
8,22,2
9,22,4
10,22,11
11,22,6
12,22,2
13,22,3
14,22,3
15,22,3
16,22,9
18,22,5
19,22,4
20,22,7
21,22,1
1,23,3
2,23,4
3,23,2
4,23,1
5,23,2
6,23,1
7,23,3
8,23,5
9,23,4
10,23,2
12,23,2
13,23,1
14,23,1
15,23,1
16,23,2
17,23,2
18,23,4
19,23,8
20,23,2
21,23,1
22,23,4
1,24,2
2,24,3
3,24,4
4,24,5
5,24,6
6,24,3
7,24,4
8,24,3
9,24,8
10,24,8
11,24,7
12,24,9
13,24,4
15,24,4
16,24,10
17,24,4
18,24,6
19,24,7
20,24,1
21,24,5
22,24,6
23,24,1
1,25,5
2,25,5
3,25,4
4,25,3
5,25,4
6,25,5
7,25,3
8,25,8
9,25,3
10,25,6
11,25,6
12,25,3
13,25,1
14,25,5
15,25,3
16,25,2
17,25,1
18,25,11
19,25,9
20,25,3
21,25,4
22,25,2
23,25,3
24,25,1
